title,image_url,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,score
Tim Hecker - Love Streams ALBUM REVIEW,https://i.ytimg.com/vi/fn6CgvrVAmw/hqdefault.jpg,0.001,0.625,0.018,0.003,0.343,0.006,0.001,0.003,5
Weezer - Weezer (The White Album) ALBUM REVIEW,https://i.ytimg.com/vi/TJNRymZmcfY/hqdefault.jpg,0,0.589,0.001,0,0.004,0.403,0.001,0.002,8
Flatbush Zombies - 3001: A Laced Odyssey ALBUM REVIEW,https://i.ytimg.com/vi/pZzjXiRUDHw/hqdefault.jpg,0.258,0.73,0.009,0,0.001,0,0,0.002,6
"The 1975 - I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It ALBUM REVIEW",https://i.ytimg.com/vi/zyVECdLF2pc/hqdefault.jpg,0,0.995,0,0,0,0.001,0,0.004,4
Kanye West - The Life of Pablo ALBUM REVIEW,https://i.ytimg.com/vi/hm7jy9HNl3w/hqdefault.jpg,0,0.399,0.014,0,0,0.002,0,0.585,8
Daughter - Not To Disappear ALBUM REVIEW,https://i.ytimg.com/vi/YFQvT0-mefs/hqdefault.jpg,0.003,0.062,0.001,0,0,0.001,0,0.932,3
Hinds - Leave Me Alone ALBUM REVIEW,https://i.ytimg.com/vi/3EhF9CZmPHs/hqdefault.jpg,0.001,0.298,0.001,0,0,0.691,0.001,0.008,6
Benjamin Clementine - At Least For Now ALBUM REVIEW,https://i.ytimg.com/vi/cS0bI-chYN8/hqdefault.jpg,0,0.959,0.001,0,0,0,0,0.04,7
Cage the Elephant - Tell Me I'm Pretty ALBUM REVIEW,https://i.ytimg.com/vi/-mQ5Rj2pyKM/hqdefault.jpg,0,0.021,0,0,0,0,0,0.978,6
Radiohead - Kid A ALBUM REVIEW,https://i.ytimg.com/vi/QaMpiKZh1fc/hqdefault.jpg,0.013,0,0,0.002,0.048,0,0.004,0.932,CLASSIC
Bob Dylan - Highway 61 Revisited ALBUM REVIEW,https://i.ytimg.com/vi/apXInrB6Bh8/hqdefault.jpg,0,0.298,0,0,0,0.698,0.001,0.003,CLASSIC
Willow Smith - Ardipithecus ALBUM REVIEW,https://i.ytimg.com/vi/Numr-bT7e6w/hqdefault.jpg,0.022,0.04,0,0.005,0.015,0.696,0.22,0.001,3
Kid Cudi - Speedin' Bullet To Heaven ALBUM REVIEW,https://i.ytimg.com/vi/CJDcbwpsjU0/hqdefault.jpg,0,0.111,0.001,0,0,0,0,0.888,0
Logic - The Incredible True Story ALBUM REVIEW,https://i.ytimg.com/vi/WyLYH0s9rHM/hqdefault.jpg,0.001,0.001,0,0.002,0.001,0.693,0.302,0,6
The Garden - Haha ALBUM REVIEW,https://i.ytimg.com/vi/Y65MsRxYYAs/hqdefault.jpg,0,0.017,0.279,0,0,0,0,0.703,5
Grimes - Art Angels ALBUM REVIEW,https://i.ytimg.com/vi/bRDENHaT2lI/hqdefault.jpg,0,0.106,0,0,0.009,0.884,0,0,7
M.E.D. Blu and Madlib - Bad Neighbor ALBUM REVIEW,https://i.ytimg.com/vi/ZcpAk1pu7MM/hqdefault.jpg,0,0.307,0.001,0,0,0.663,0,0.029,4
The World Is A Beautiful Place & I Am No Longer Afraid To Die - Harmlessness ALBUM REVIEW,https://i.ytimg.com/vi/3e_yNhZMXMU/hqdefault.jpg,0,0.997,0,0,0,0.002,0,0,7
CHVRCHES - Every Open Eye ALBUM REVIEW,https://i.ytimg.com/vi/y8JUeP3ODic/hqdefault.jpg,0,0.984,0.001,0,0.002,0.002,0,0.01,5
Julia Holter - Have You In My Wilderness ALBUM REVIEW,https://i.ytimg.com/vi/PTNTqWto9yA/hqdefault.jpg,0,0,0,0,0,0,0,1,9
Iron Maiden - The Book of Souls ALBUM REVIEW,https://i.ytimg.com/vi/bS3S9siJqdc/hqdefault.jpg,0,0.002,0.685,0,0,0.001,0,0.311,6
Miley Cyrus - Miley Cyrus and Her Dead Petz ALBUM REVIEW,https://i.ytimg.com/vi/4J4GjCE_KPw/hqdefault.jpg,0,0,0,0,0,0.599,0.003,0.397,1
Foals - What Went Down ALBUM REVIEW,https://i.ytimg.com/vi/GI6S--qXc2M/hqdefault.jpg,0,0.999,0,0,0,0.001,0,0,5
Quelle Chris - Innocent Country ALBUM REVIEW,https://i.ytimg.com/vi/3rSfhouI9oQ/hqdefault.jpg,0,0,0,0,0,0.483,0.001,0.516,7
"RP Boo - Fingers, Bank Pads & Shoeprints ALBUM REVIEW",https://i.ytimg.com/vi/3mw44LC6w08/hqdefault.jpg,0,0.546,0,0,0,0.454,0,0,7
Everything Everything - Get to Heaven ALBUM REVIEW,https://i.ytimg.com/vi/HF9GqC65Wjo/hqdefault.jpg,0.001,0.979,0,0,0,0.019,0,0,8
Tame Impala - Currents ALBUM REVIEW,https://i.ytimg.com/vi/_ASR7i5RPKM/hqdefault.jpg,0.077,0.922,0,0,0,0.001,0,0,7
Lil Ugly Mane - Third Side of Tape ALBUM REVIEW,https://i.ytimg.com/vi/N4N5E0yp2EA/hqdefault.jpg,0.001,0.887,0.001,0.002,0.015,0.085,0,0.008,8
Muse - Drones ALBUM REVIEW,https://i.ytimg.com/vi/QGS7Med4jsA/hqdefault.jpg,0,0.998,0.002,0,0,0,0,0,5
Jamie xx - In Colour ALBUM REVIEW,https://i.ytimg.com/vi/2fa2GpSFAJ4/hqdefault.jpg,0,0.967,0,0,0,0.031,0,0.001,7
Shamir - Ratchet ALBUM REVIEW,https://i.ytimg.com/vi/mnZbtlbBPT8/hqdefault.jpg,0,0.997,0,0,0,0.002,0,0,5
Kamasi Washington - The Epic ALBUM REVIEW,https://i.ytimg.com/vi/cRekLSSWhtg/hqdefault.jpg,0,0.959,0,0,0,0.041,0,0,9
Blur - The Magic Whip ALBUM REVIEW,https://i.ytimg.com/vi/tTt7YDzH054/hqdefault.jpg,0,0.372,0.002,0.004,0.024,0.003,0,0.595,7
Tribulation - The Children of the Night ALBUM REVIEW,https://i.ytimg.com/vi/KdbAYLHLUZ8/hqdefault.jpg,0,0.977,0,0,0,0.022,0,0.001,7
Drenge - Undertow ALBUM REVIEW,https://i.ytimg.com/vi/YxqQ9e8MYgE/hqdefault.jpg,0.001,0.994,0.003,0,0,0,0,0.001,5
"Tyler, The Creator - Cherry Bomb ALBUM REVIEW",https://i.ytimg.com/vi/e2rexvDHPZs/hqdefault.jpg,0,0,0,0.001,0.006,0.563,0.254,0.175,3
"Courtney Barnett - Sometimes I Sit and Think, and Sometimes I Just Sit ALBUM REVIEW",https://i.ytimg.com/vi/I6wrqIndfJM/hqdefault.jpg,0,0.999,0.001,0,0,0,0,0,5
"Earl Sweatshirt - I Don't Like Shit, I Don't Go Outside ALBUM REVIEW",https://i.ytimg.com/vi/WG7xw2UiKwc/hqdefault.jpg,0,0.253,0.019,0.001,0,0.001,0,0.725,6
Kendrick Lamar - To Pimp A Butterfly ALBUM REVIEW,https://i.ytimg.com/vi/qTmHuavOXNg/hqdefault.jpg,0,0.041,0.001,0,0,0.889,0,0.068,10
Modest Mouse - Strangers To Ourselves ALBUM REVIEW,https://i.ytimg.com/vi/2JVBUPfxD44/hqdefault.jpg,0,0.857,0.018,0.001,0.007,0,0,0.116,5
of Montreal - Aureate Gloom ALBUM REVIEW,https://i.ytimg.com/vi/DiFm53BrlOE/hqdefault.jpg,0,0.346,0.001,0,0,0.16,0,0.493,6
Lightning Bolt - Fantasy Empire ALBUM REVIEW,https://i.ytimg.com/vi/medwB35qz_A/hqdefault.jpg,0,0,0,0,0,0,0,0.999,7
Leviathan - Scar Sighted ALBUM REVIEW ft. Myke C-Town,https://i.ytimg.com/vi/JKM79q5lKVM/hqdefault.jpg,0,0.038,0.65,0.003,0,0.287,0.001,0.019,8
Jeff Rosenstock - We Cool? ALBUM REVIEW ft. Cal Chuchesta,https://i.ytimg.com/vi/J6FSd14ATB4/hqdefault.jpg,0,0.411,0.028,0.001,0.003,0.001,0,0.556,8
Adventures - Supersonic Home ALBUM REVIEW,https://i.ytimg.com/vi/hehR6VpW-lk/hqdefault.jpg,0,0.661,0.002,0,0,0.337,0,0,7
"Pond - Man, It Feels Like Space Again ALBUM REVIEW",https://i.ytimg.com/vi/K0OKHJ3K8qs/hqdefault.jpg,0,0.001,0,0,0,0.98,0.018,0,6
"Father John Misty - I Love You, Honeybear ALBUM REVIEW",https://i.ytimg.com/vi/_TCbKdhYsXM/hqdefault.jpg,0.002,0.993,0,0,0.004,0,0,0,8
Title Fight - Hyperview ALBUM REVIEW,https://i.ytimg.com/vi/ibMp5-ItAFo/hqdefault.jpg,0,0.999,0,0,0,0,0,0,4
Marilyn Manson - The Pale Emperor ALBUM REVIEW,https://i.ytimg.com/vi/ONikj9CXwrQ/hqdefault.jpg,0,0,0,0,0,0.483,0,0.516,6(66)
Joy Division - Unknown Pleasures ALBUM REVIEW,https://i.ytimg.com/vi/8M_Z-HV9dgA/hqdefault.jpg,0.001,0.001,0.001,0.01,0.005,0.658,0.323,0,CLASSIC
D'Angelo and The Vanguard - Black Messiah ALBUM REVIEW,https://i.ytimg.com/vi/GmzkeqZ3AW8/hqdefault.jpg,0,0,0,0,0,0,0,1,8
Dean Blunt - Black Metal ALBUM REVIEW,https://i.ytimg.com/vi/ue5sLcwJpyU/hqdefault.jpg,0,0.597,0,0,0,0.403,0,0,8
Slipknot - .5: The Gray Chapter ALBUM REVIEW,https://i.ytimg.com/vi/ktiEB7Svutg/hqdefault.jpg,0,0,0,0,0.006,0,0,0.993,4
Run the Jewels - Run the Jewels 2 ALBUM REVIEW,https://i.ytimg.com/vi/oiNIJAQWUbY/hqdefault.jpg,0,0.05,0,0,0.003,0.945,0,0.001,8
Foxygen - ...And Star Power ALBUM REVIEW,https://i.ytimg.com/vi/ndeO80edrZA/hqdefault.jpg,0,0.996,0.001,0,0,0.002,0,0,2
Shellac - Dude Incredible ALBUM REVIEW,https://i.ytimg.com/vi/Y7seq3mi-hY/hqdefault.jpg,0,0,0.002,0.002,0.011,0.785,0.164,0.037,6
Interpol - El Pintor ALBUM REVIEW,https://i.ytimg.com/vi/M6eB1cUUQds/hqdefault.jpg,0,0,0,0,0,0,0,1,6
Julian Casablancas + The Voidz - Tyranny ALBUM REVIEW,https://i.ytimg.com/vi/T_Xo9WU4vVM/hqdefault.jpg,0.001,0.98,0.006,0.001,0.012,0,0,0,7
Aphex Twin - Syro ALBUM REVIEW,https://i.ytimg.com/vi/r7-5Ct4eQho/hqdefault.jpg,0,0,0,0,0.001,0.938,0.06,0,6
Opeth - Pale Communion ALBUM REVIEW,https://i.ytimg.com/vi/BaIc7rttYEc/hqdefault.jpg,0,0.889,0.002,0,0,0,0,0.109,5
Rustie - Green Language ALBUM REVIEW,https://i.ytimg.com/vi/-9H3gaVgbUs/hqdefault.jpg,0.005,0.857,0.125,0.001,0,0.01,0,0.002,3
Uncommon Nasa - New York Telephone ALBUM REVIEW,https://i.ytimg.com/vi/S47nKJ8n0tk/hqdefault.jpg,0.034,0.001,0,0.002,0.005,0,0.001,0.958,8
Michael Cera - True That ALBUM REVIEW,https://i.ytimg.com/vi/-obIKHZvohA/hqdefault.jpg,0.001,0.882,0.002,0,0,0.001,0,0.114,5
Joyce Manor - Never Hungover Again ALBUM REVIEW,https://i.ytimg.com/vi/kjSTPQQg194/hqdefault.jpg,0.011,0.067,0.001,0.038,0.856,0.006,0.001,0.02,6
Deadmau5 - While (1 Is Less Than 2) ALBUM REVIEW,https://i.ytimg.com/vi/qy-tfRCoGGc/hqdefault.jpg,0,0,0.502,0.009,0,0.451,0.013,0.026,7
Sharon Van Etten - Are We There ALBUM REVIEW,https://i.ytimg.com/vi/VFBMewMCCxQ/hqdefault.jpg,0,0.021,0.001,0,0.001,0.073,0.001,0.903,6
Chromeo - White Women ALBUM REVIEW,https://i.ytimg.com/vi/WX1qWv05ILU/hqdefault.jpg,0.003,0.001,0,0.002,0.007,0.492,0.493,0.002,5
Damon Albarn - Everyday Robots ALBUM REVIEW,https://i.ytimg.com/vi/4-Ds7dKjIRE/hqdefault.jpg,0,0.293,0,0,0,0.707,0,0,5
Chet Faker - Built On Glass ALBUM REVIEW,https://i.ytimg.com/vi/71iEgW0ABhY/hqdefault.jpg,0.02,0.535,0.212,0.226,0.005,0,0,0.001,3
"The Hotelier - Home, Like NoPlace Is There ALBUM REVIEW",https://i.ytimg.com/vi/B42U6Puyx7U/hqdefault.jpg,0,0.507,0,0,0.006,0.484,0.002,0,6
Future Islands - Singles ALBUM REVIEW,https://i.ytimg.com/vi/Zr4YJIqx31c/hqdefault.jpg,0.003,0.165,0.008,0.001,0,0.001,0,0.821,7
Real Estate - Atlas ALBUM REVIEW,https://i.ytimg.com/vi/HdRbrgxxBuU/hqdefault.jpg,0.001,0.948,0.043,0.001,0.001,0.001,0,0.005,3
Beck - Morning Phase ALBUM REVIEW,https://i.ytimg.com/vi/BrAgo1Qh4uk/hqdefault.jpg,0.181,0.745,0.071,0.001,0.001,0,0,0.001,4
St. Vincent - Self-Titled ALBUM REVIEW,https://i.ytimg.com/vi/qP2hHvB4d_Y/hqdefault.jpg,0,0.001,0.947,0.018,0,0.009,0.001,0.024,7
Sun Kil Moon - Benji ALBUM REVIEW,https://i.ytimg.com/vi/ZTIJvNmsQgo/hqdefault.jpg,0.003,0.985,0.012,0,0,0,0,0,9
Behemoth - The Satanist ALBUM REVIEW,https://i.ytimg.com/vi/5pfUULxVoSU/hqdefault.jpg,0.041,0.938,0.001,0.001,0.013,0.003,0.002,0,9
Against Me! - Transgender Dysphoria Blues ALBUM REVIEW,https://i.ytimg.com/vi/0ZA29cQNoQc/hqdefault.jpg,0,0,0,0,0,0.94,0.06,0,5
Fugazi - Repeater ALBUM REVIEW,https://i.ytimg.com/vi/EuokTnCkrKg/hqdefault.jpg,0.004,0.827,0.003,0.002,0.003,0.145,0.011,0.006,CLASSIC
Future Of The Left - How To Stop Your Brain In An Accident ALBUM REVIEW,https://i.ytimg.com/vi/qXvyxrarDxw/hqdefault.jpg,0,0,0,0,0,0.106,0,0.894,8
M.I.A. - Matangi ALBUM REVIEW,https://i.ytimg.com/vi/-v5hKxV70-0/hqdefault.jpg,0,0.407,0,0,0,0.592,0.001,0,7
Cage The Elephant - Melophobia ALBUM REVIEW,https://i.ytimg.com/vi/Od7fLNhEecM/hqdefault.jpg,0,0.475,0.004,0.063,0.451,0.006,0,0,8
AFI - Burials ALBUM REVIEW,https://i.ytimg.com/vi/JNyoitGE2cc/hqdefault.jpg,0.001,0.002,0.001,0.007,0.023,0.368,0.572,0.026,2
Chelsea Wolfe - Pain Is Beauty ALBUM REVIEW,https://i.ytimg.com/vi/oefX916-gYw/hqdefault.jpg,0,0.001,0.043,0.031,0.007,0.688,0.229,0,8
Jonathan Rado - Law & Order ALBUM REVIEW,https://i.ytimg.com/vi/93EA4JIEgWI/hqdefault.jpg,0,0.849,0.015,0.002,0.005,0.106,0.001,0.022,4
Jay-Z - Magna Carta... Holy Grail ALBUM REVIEW,https://i.ytimg.com/vi/wBgqAKxujkE/hqdefault.jpg,0,0.266,0,0,0,0.733,0,0,6
Queens of the Stone Age - ...Like Clockwork ALBUM REVIEW,https://i.ytimg.com/vi/5uvj_3nd5kY/hqdefault.jpg,0,0,0.005,0.007,0.025,0.176,0.036,0.751,9
Deafheaven - Sunbather ALBUM REVIEW,https://i.ytimg.com/vi/rzolEHmXNBE/hqdefault.jpg,0.019,0.81,0.004,0,0.001,0.158,0.007,0,8
Daft Punk - Random Access Memories ALBUM REVIEW,https://i.ytimg.com/vi/tTUBoFVi-HY/hqdefault.jpg,0,0.033,0,0,0,0.967,0,0,8
Vampire Weekend - Modern Vampires of the City ALBUM REVIEW,https://i.ytimg.com/vi/U2oWxvgeboY/hqdefault.jpg,0,0.242,0,0,0,0.758,0,0,7
The Flaming Lips - The Terror ALBUM REVIEW,https://i.ytimg.com/vi/dYLX9FtIzN8/hqdefault.jpg,0.001,0.091,0.02,0,0,0.001,0,0.887,6
The Mary Onettes - Hit The Waves ALBUM REVIEW,https://i.ytimg.com/vi/nzqQJIk4TYo/hqdefault.jpg,0,0.035,0.043,0,0,0,0,0.922,7
Bonobo - The North Borders ALBUM REVIEW,https://i.ytimg.com/vi/e_c7Fh4dL0c/hqdefault.jpg,0.017,0.086,0.601,0.002,0,0,0,0.295,6
The Strokes - Comedown Machine ALBUM REVIEW,https://i.ytimg.com/vi/plxG23-nifs/hqdefault.jpg,0.317,0.112,0.001,0,0,0.031,0.538,0,5
Rhye - Woman ALBUM REVIEW,https://i.ytimg.com/vi/mHicFE6i0nE/hqdefault.jpg,0.009,0.493,0.006,0.005,0.467,0.002,0.001,0.017,6
Autechre - Exai ALBUM REVIEW,https://i.ytimg.com/vi/04flJC_4pv8/hqdefault.jpg,0,0,0,0,0,0.986,0.013,0.001,8
Foals - Holy Fire ALBUM REVIEW,https://i.ytimg.com/vi/IV0FxPl098Y/hqdefault.jpg,0.002,0.011,0,0,0.001,0.053,0.001,0.931,5
My Bloody Valentine - MBV ALBUM REVIEW,https://i.ytimg.com/vi/EEY6WYtxZFQ/hqdefault.jpg,0,0,0,0,0,0,0,1,8
Unknown Mortal Orchestra - II ALBUM REVIEW,https://i.ytimg.com/vi/1WnqvDivfDg/hqdefault.jpg,0.002,0.627,0.008,0.006,0.038,0.306,0.013,0,7
My Bloody Valentine- Loveless ALBUM REVIEW,https://i.ytimg.com/vi/iG_0Exs9jTQ/hqdefault.jpg,0.069,0.878,0.03,0.002,0.001,0.001,0,0.02,CLASSIC
King Crimson- In the Court of the Crimson King ALBUM REVIEW,https://i.ytimg.com/vi/CEpKouCO6L8/hqdefault.jpg,0.001,0.954,0.043,0,0,0,0,0,CLASSIC
Dead Kennedys- Plastic Surgery Disasters ALBUM REVIEW,https://i.ytimg.com/vi/-7_UEorW3Vg/hqdefault.jpg,0.001,0.034,0.183,0.008,0.001,0.589,0.007,0.178,CLASSIC
Scott Walker- Bish Bosch ALBUM REVIEW,https://i.ytimg.com/vi/yGrlhEmZZVc/hqdefault.jpg,0,0.028,0.044,0.013,0.149,0.755,0.009,0.002,7
Macintosh Plus- Floral Shoppe ALBUM REVIEW,https://i.ytimg.com/vi/f0D9IyyeEEU/hqdefault.jpg,0.027,0.949,0.002,0.001,0.004,0.012,0.005,0,4
Captain Murphy- Duality ALBUM REVIEW,https://i.ytimg.com/vi/aVCMiepR6wA/hqdefault.jpg,0.086,0.623,0.002,0,0,0.009,0.023,0.256,7
Crystal Castles- (III) ALBUM REVIEW,https://i.ytimg.com/vi/XtGC_QIIHnc/hqdefault.jpg,0,0.997,0.002,0,0,0,0,0.001,4
Pig Destroyer- Book Burner ALBUM REVIEW,https://i.ytimg.com/vi/Z7wMOFelXjY/hqdefault.jpg,0,0.749,0.002,0,0,0.246,0,0.002,6
"Kendrick Lamar- good kid, m.A.A.d. city ALBUM REVIEW",https://i.ytimg.com/vi/VUUxtEQLAiQ/hqdefault.jpg,0.001,0.99,0.003,0.001,0.001,0.002,0,0.002,9
Macklemore and Ryan Lewis- The Heist ALBUM REVIEW,https://i.ytimg.com/vi/r3K4-d_XQaw/hqdefault.jpg,0.01,0.97,0.001,0,0,0.018,0.001,0,7
Tame Impala- Lonerism ALBUM REVIEW,https://i.ytimg.com/vi/f7crV1BXXVg/hqdefault.jpg,0,0.543,0,0,0,0.457,0,0,8
Alt-J- An Awesome Wave ALBUM REVIEW,https://i.ytimg.com/vi/_TZBdHjgMxI/hqdefault.jpg,0.001,0.172,0.019,0.004,0.002,0.597,0.001,0.204,8
Muse- The 2nd Law ALBUM REVIEW,https://i.ytimg.com/vi/zZsgsn_fUao/hqdefault.jpg,0,0.062,0,0,0,0.931,0.007,0,3
David Byrne & St. Vincent- Love This Giant ALBUM REVIEW,https://i.ytimg.com/vi/eR0cWuLWhzo/hqdefault.jpg,0,0.651,0.001,0,0,0.342,0.005,0,7
Dinosaur Jr.- I Bet On Sky ALBUM REVIEW,https://i.ytimg.com/vi/0Kb4w7dGSN0/hqdefault.jpg,0,0,0.001,0,0,0,0,0.999,7
Grizzly Bear- Shields ALBUM REVIEW,https://i.ytimg.com/vi/HcE__4Fv5Hk/hqdefault.jpg,0,0.681,0.001,0.001,0.316,0,0,0,6
Wild Nothing- Nocturne ALBUM REVIEW,https://i.ytimg.com/vi/fSB9Wy0-Ps4/hqdefault.jpg,0.001,0.995,0,0,0,0.003,0,0,8
Passion Pit- Gossamer ALBUM REVIEW,https://i.ytimg.com/vi/zFg1j6oSiBo/hqdefault.jpg,0,0.087,0,0,0,0.913,0,0,6
Aesop Rock- Skelethon ALBUM REVIEW,https://i.ytimg.com/vi/jO5gV6w8epQ/hqdefault.jpg,0,0.998,0,0,0,0.001,0,0,7
Dirty Projectors- Swing Lo Magellan ALBUM REVIEW,https://i.ytimg.com/vi/_7eIJDRGBb0/hqdefault.jpg,0,0.963,0.001,0,0.001,0.035,0,0,6
Rush- Clockwork Angels ALBUM REVIEW,https://i.ytimg.com/vi/CHhdSJLmdu8/hqdefault.jpg,0.002,0.995,0.002,0,0,0,0,0.001,6
The Smashing Pumpkins- Oceania ALBUM REVIEW,https://i.ytimg.com/vi/GX0CdRiz9xY/hqdefault.jpg,0.001,0.999,0,0,0,0,0,0,6
Recondite- On Acid ALBUM REVIEW,https://i.ytimg.com/vi/-NI4-QvHv9M/hqdefault.jpg,0.001,0.949,0,0,0,0.05,0,0,8
El-P- Cancer For Cure ALBUM REVIEW,https://i.ytimg.com/vi/uQEaJknSSXI/hqdefault.jpg,0,0.552,0,0,0,0.447,0,0,6
Best Coast- The Only Place ALBUM REVIEW,https://i.ytimg.com/vi/bQ04LrK4epI/hqdefault.jpg,0.003,0.741,0.194,0.001,0.001,0.001,0,0.058,3
mewithoutYou- Ten Stories ALBUM REVIEW,https://i.ytimg.com/vi/XZ3LM0xjcPA/hqdefault.jpg,0.001,0.998,0,0,0,0.001,0,0,6
Death Grips- The Money Store ALBUM REVIEW,https://i.ytimg.com/vi/mK54P7VeM1g/hqdefault.jpg,0.001,0.321,0,0,0,0.673,0.004,0,10
Meshuggah- Koloss ALBUM REVIEW,https://i.ytimg.com/vi/RE9pUpdFmeE/hqdefault.jpg,0,0.937,0.001,0,0.001,0.029,0,0.032,6
Pallbearer- Sorrow and Extinction ALBUM REVIEW,https://i.ytimg.com/vi/5n5X5kQmnBw/hqdefault.jpg,0,0.083,0,0,0,0.916,0,0,7
Sleigh Bells- Reign of Terror ALBUM REVIEW,https://i.ytimg.com/vi/X-VSXW3qthQ/hqdefault.jpg,0,0.692,0.002,0,0.301,0.004,0,0,5
Guided by Voices- Let's Go Eat the Factory ALBUM REVIEW,https://i.ytimg.com/vi/U78NIj16Ou0/hqdefault.jpg,0,0.561,0.003,0,0.436,0,0,0,6
Neutral Milk Hotel - In the Aeroplane Over the Sea ALBUM REVIEW,https://i.ytimg.com/vi/IB4kTLN15y0/hqdefault.jpg,0,0.011,0.001,0,0.001,0.006,0,0.982,CLASSIC
Frank Zappa- Hot Rats ALBUM REVIEW,https://i.ytimg.com/vi/MCu9UD2aVlw/hqdefault.jpg,0.001,0.077,0.563,0.027,0.015,0.212,0.008,0.097,CLASSIC
Pianos Become the Teeth- The Lack Long After ALBUM REVIEW,https://i.ytimg.com/vi/Z9qBtOaCRzc/hqdefault.jpg,0.001,0.781,0.001,0,0,0.002,0,0.214,6
Wild Flag- Self-Titled ALBUM REVIEW,https://i.ytimg.com/vi/2c5KCsYiYoY/hqdefault.jpg,0,0.989,0,0,0,0.004,0,0.006,7
Andrew Jackson Jihad- Knife Man ALBUM REVIEW,https://i.ytimg.com/vi/pOI3xkXoId0/hqdefault.jpg,0,0.937,0.001,0,0,0.047,0,0.015,8
Giles Corey- Giles Corey ALBUM REVIEW,https://i.ytimg.com/vi/d8kP_uGxNfc/hqdefault.jpg,0,0.736,0,0,0,0.263,0,0.001,8
Danny Brown- XXX ALBUM REVIEW,https://i.ytimg.com/vi/DPeE28Fb_L8/hqdefault.jpg,0,0.995,0.001,0.001,0.001,0.001,0,0.002,8
They Might Be Giants- Join Us ALBUM REVIEW,https://i.ytimg.com/vi/TyGMJtRPF78/hqdefault.jpg,0.001,0.998,0,0,0,0,0,0.001,5
Portugal. The Man- In the Mountain In the Cloud ALBUM REVIEW,https://i.ytimg.com/vi/Uknh7QaW87Y/hqdefault.jpg,0,0.979,0.019,0,0,0,0,0.001,6
Bon Iver- Bon Iver ALBUM REVIEW,https://i.ytimg.com/vi/j_LB2pqybaM/hqdefault.jpg,0.001,0.862,0.001,0,0,0.02,0,0.116,6
Arctic Monkeys- Suck It and See ALBUM REVIEW,https://i.ytimg.com/vi/y39aOgNMgik/hqdefault.jpg,0,0.713,0,0,0,0.286,0,0,5
Boris- Heavy Rocks / Attention Please ALBUM REVIEWS,https://i.ytimg.com/vi/EpoCK7SOutg/hqdefault.jpg,0,0.94,0,0,0,0.06,0,0,6
Amon Tobin- ISAM ALBUM REVIEW,https://i.ytimg.com/vi/O-6hnRcicVc/hqdefault.jpg,0,0.966,0,0,0,0.028,0,0.006,7
Fleet Foxes- Helplessness Blues ALBUM REVIEW,https://i.ytimg.com/vi/ztqWF4z9kAw/hqdefault.jpg,0.001,0.992,0.001,0,0.001,0.005,0,0,9
"Explosions In the Sky- Take Care, Take Care, Take Care ALBUM REVIEW",https://i.ytimg.com/vi/qwRR5uCTvas/hqdefault.jpg,0,0.995,0.002,0,0,0.002,0,0,5
The Strokes- Angles ALBUM REVIEW,https://i.ytimg.com/vi/d5o1V3lxGH0/hqdefault.jpg,0.034,0.965,0.001,0,0,0,0,0,7
